editor_name,editor_institute,editor_country
Silvia  Santini,USI Lugano,Switzerland
Tao  Gu,Macquarie University,Australia
Judy  Kay,University of Sydney,Australia
Uichin  Lee,KAIST,Republic of Korea
Lena  Mamykina,Columbia University,United States
Thomas  Ploetz,Georgia Institute of Technology,United States
" <a href=""/profile/81387591875"" class=""link"">Stephan  Sigg</a>",Aalto University,Finland
Kristof  Van Laerhoven,University of Siegen,Germany
Chenren  Xu,Peking University,China
A. J.  Brush,Microsoft Research,United States
Anind  Dey,University of Washington,United States
Adrian  Friday,Lancaster University,United Kingdom
James  Landay,Stanford University,United States
Daqing  Zhang,Peking University,China
Nabil  Alshurafa,Northwestern University,United States
Florian  Alt,LMU Munich,Germany
Nilanjan  Banerjee,"University of Maryland, Baltimore County",United States
Nikola  Banovic,University of Michigan,United States
Jakob E. Bardram,Technical University of Denmark,Denmark
Michael  Beigl,Karlsruhe Institute of Technology,Germany
Nadia  Berthouze,University College London,United Kingdom
Claudio  Bettini,Università degli Studi di Milano,Italy
Sourav  Bhattacharya,Samsung AI Center,United Kingdom
Eun Kyoung Choe,University of Maryland College Park,United States
Hao-Hua  Chu,National Taiwan University,Taiwan
Adrian K. Clear,National University of Ireland,United Kingdom
Sarah  Clinch,University of Manchester,United Kingdom
Diane  Cook,Washington State University,United States
Enrico  Costanza,University College London,United Kingdom
Nigel  Davies,Lancaster University,United Kingdom
Munmun  De Choudhury,Georgia Institute of Technology,United States
Franca  Delmastro,Institute for Informatics and Telematics (CNR),Italy
Anind  Dey,University of Washington,United States
Tilman  Dingler,University of Melbourne,Australia
Afsaneh  Doryab,Carnegie Mellon University,United States
Daniel  Epstein,University of California Irvine,United States
Katayoun  Farrahi,University of Southampton,United Kingdom
Sean  Follmer,Stanford University,United States
Mike  Fraser,University of Bristol,United Kingdom
Daniel  Gatica-Perez,Idiap-EPFL,Switzerland
Hans  Gellersen,Lancaster University and Aarhus University,Denmark
Mayank  Goel,Carnegie Mellon University,United States
Jorge  Goncalves,University of Melbourne,Australia
Yu  Guan,University of Warwick,United Kingdom
Bin  Guo,Northwestern Polytechnical University,China
Sidhant  Gupta,Microsoft Research,United States
Qi  Han,Colorado School of Mines,United States
Kotaro  Hara,Singapore Management University,Singapore
Jennifer A. Healey,Intel,United States
Josiah  Hester,Northwestern University,United States
Christian  Holz,ETH Zurich,Switzerland
Inseok  Hwang,POSTECH,Republic of Korea
Sozo  Inoue,Kyushu Institute of Technology,Japan
Stephen  Intille,Northeastern University,United States
Zhanpeng  Jin,University at Buffalo,United States
Seungwoo  Kang,KOREATECH,Republic of Korea
Cindy Hsin-Liu  Kao,Cornell University,United States
Yoshihiro  Kawahara,The University of Tokyo,Japan
Fahim  Kawsar,Bell Labs,United Kingdom
Mohamed  Khamis,University of Glasgow,United Kingdom
Byoungjip  Kim,SK T-Brain,Republic of Korea
Bran  Knowles,Lancaster University,United Kingdom
JeongGil  Ko,Ajou University,Republic of Korea
Shin'ichi  Konomi,Kyushu University,Japan
Antonio  Krüger,Saarland University and DFKI GmbH,Germany
Santosh  Kumar,University of Memphis,United States
Nicholas D. Lane,University College London,United Kingdom
Youngki  Lee,Seoul National University,Republic of Korea
Yong  Li,Tsinghua University,China
Hong  Lu,Intel Labs,United States
Paul  Lukowicz,DFKI &amp; University of Kaiserslautern,Germany
Yongqiang  Lyu,Tsinghua University,China
Max  Mühlhäuser,Technische Universität Darmstadt,Germany
Takuya  Maekawa,Osaka University,Japan
Alex  Mariakakis,University of Toronto,Canada
Cecilia  Mascolo,University of Cambridge,United Kingdom
" <a href=""/profile/81548006572"" class=""link"">Akhil  Mathur</a>",Bell Labs,United Kingdom
Simon  Mayer,University of St. Gallen,Switzerland
Florian  Michahelles,Technische Universität Wien,Austria
Chulhong  Min,Nokia Bell Labs,United Kingdom
Mirco  Musolesi,University College London,United Kingdom
Jin  Nakazawa,Keio University,Japan
Petteri  Nurmi,University of Helsinki,Finland
Ian  Oakley,UNIST,Republic of Korea
Tadashi  Okoshi,Keio University,Japan
Nuria  Oliver,Vodafone Research &amp; Data-Pop Alliance,United Kingdom
Veljko  Pejovic,University of Ljubljana,Slovenia
Tauhidur  Rahman,University of Massachusetts Amherst,United States
Vaishnavi Nattar Ranganathan,Microsoft Research,United States
Daniel  Roggen,University of Sussex,United Kingdom
Michael  Rohs,University of Hannover,Germany
Flora  Salim,RMIT,Australia
Alanson  Sample,University of Michigan,United States
Akane  Sano,Rice University,United States
Stefan  Schneegass,University of Duisburg-Essen,Germany
Junehwa  Song,Korea Advanced Institute of Science and Technology,Republic of Korea
Xuan  Song,University of Tokyo,Japan
Thad  Starner,Georgia Institute of Technology,United States
Edison  Thomaz,The University of Texas at Austin,United States
Eran  Toch,Tel Aviv University,Israel
Jamie A. Ward,"Goldsmiths, University of London",United Kingdom
Nadir  Weibel,UC San Diego,United States
Hongkai  Wen,Warwick University,United Kingdom
Jason  Wiese,University of Utah,United States
Xing  Xie,Microsoft Research,China
Cheng  Zhang,Cornell University,United States
Desheng  Zhang,Rutgers University,United States
Pei  Zhang,University of Michigan Ann Arbor,United States
Gang  Zhou,College of William and Mary,United States
Zimu  Zhou,Singapore Management University,Singapore
Shkurta  Gashi,ETH Zürich,Switzerland
Gregory D. Abowd,Georgia Tech,United States
